"Image","Title","Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Reviews: Rating","Reviews: Rating Count","ASIN","Brand","Monthly Sales Trends: Monthly Sold (Last Known)"
"https://m.media-amazon.com/images/I/71jXhYchIxL.jpg;https://m.media-amazon.com/images/I/61i5uwOH1qL.jpg;https://m.media-amazon.com/images/I/61-+tjcWS4L.jpg;https://m.media-amazon.com/images/I/51U5L5tbphL.jpg;https://m.media-amazon.com/images/I/51vrc1-m56L.jpg;https://m.media-amazon.com/images/I/61zO8R0JSuL.jpg;https://m.media-amazon.com/images/I/71K-SRm0g-L.jpg","NexLev Handheld Garment Steamer |1500 Watts | 35 g/min | 300 ML| Vertical & Horizontal Ironing for Silk Velvet|Damage Free Steam for all Cloth Types|25sec quick heat | 3 Brushes |GS-01","292695","224555","86366","33304","2","3.9","129","B0CDPQXPC1","nexlev","10"
"https://m.media-amazon.com/images/I/71+RZvglJ7L.jpg;https://m.media-amazon.com/images/I/81ol73IzvcL.jpg;https://m.media-amazon.com/images/I/81XVEJbtaOL.jpg;https://m.media-amazon.com/images/I/71lcmdIZCrL.jpg;https://m.media-amazon.com/images/I/81XFmXxaWBL.jpg;https://m.media-amazon.com/images/I/81jkt6nLVjL.jpg;https://m.media-amazon.com/images/I/71p8dgnbnZL.jpg;https://m.media-amazon.com/images/I/71QCToIZFxL.jpg;https://m.media-amazon.com/images/I/81mzZC85pjL.jpg","Nexlev Steam Iron Handheld For Clothes | Hand Iron Steamer For Clothes 1500W Garment Steamer | 300ML Tank | Vertical & Horizontal Steam Press for Clothes | 25s Quick Heat | Travel Friendly GS-02","56027","43594","25616","17327","11","4","287","B0CDPMX152","nexlev","50"
"https://m.media-amazon.com/images/I/61Q0vs-wTNL.jpg;https://m.media-amazon.com/images/I/71DOSkwk4vL.jpg;https://m.media-amazon.com/images/I/81k912NAmUL.jpg;https://m.media-amazon.com/images/I/81zc9ABOiLL.jpg;https://m.media-amazon.com/images/I/71q0qFh0xOL.jpg;https://m.media-amazon.com/images/I/71EFOaIJ7QL.jpg;https://m.media-amazon.com/images/I/71gi1ZY6WwL.jpg;https://m.media-amazon.com/images/I/81lg0-P6swL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner | 1000W","8086","4914","4272","5877","20","3.8","679","B0CDPP45BM","nexlev","100"
"https://m.media-amazon.com/images/I/71OYSRLOpsL.jpg;https://m.media-amazon.com/images/I/71glW987FyL.jpg;https://m.media-amazon.com/images/I/71JIq0JHamL.jpg;https://m.media-amazon.com/images/I/81FLmofCtWL.jpg;https://m.media-amazon.com/images/I/81peyQAsfeL.jpg;https://m.media-amazon.com/images/I/711Y2qsrfLL.jpg;https://m.media-amazon.com/images/I/81U9+2Qi-PL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01","21828","20876","18042","10688","2","3.8","117","B0CDQ98FDM","nexlev","10"
"https://m.media-amazon.com/images/I/817AHr9fnmL.jpg;https://m.media-amazon.com/images/I/81ZP079cb6L.jpg;https://m.media-amazon.com/images/I/81OKa6l+XVL.jpg;https://m.media-amazon.com/images/I/91DNr2yDI1L.jpg;https://m.media-amazon.com/images/I/81WoNfgFL-L.jpg;https://m.media-amazon.com/images/I/81j4Inqae9L.jpg;https://m.media-amazon.com/images/I/815mG91RZiL.jpg","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-02","21828","20983","18761","11149","2","3.8","117","B0CDQ55W2M","nexlev","50"
"https://m.media-amazon.com/images/I/71OYSRLOpsL.jpg;https://m.media-amazon.com/images/I/71glW987FyL.jpg;https://m.media-amazon.com/images/I/71JIq0JHamL.jpg;https://m.media-amazon.com/images/I/81FLmofCtWL.jpg;https://m.media-amazon.com/images/I/81peyQAsfeL.jpg;https://m.media-amazon.com/images/I/711Y2qsrfLL.jpg;https://m.media-amazon.com/images/I/81U9+2Qi-PL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-03","21828","20870","17943","10856","2","3.8","117","B0CDQ6G4TC","nexlev","10"
"https://m.media-amazon.com/images/I/61lyW63dPdL.jpg;https://m.media-amazon.com/images/I/71qKrFtlzML.jpg;https://m.media-amazon.com/images/I/71wA6EfHNFL.jpg;https://m.media-amazon.com/images/I/61yVKDY6ebL.jpg;https://m.media-amazon.com/images/I/610T38GDA5L.jpg","Nexlev Premium Memory Foam Neck Pillow with 360-Degree Head Support | Lightweight Comfortable Travel Pillow with Storage Bag for Sleeping | Traveling Flight Car Train Bus and Home Use NP-04 (Sky Blue)","52000","49735","43754","34262","0","3.9","24","B0CDQ5Y3YB","nexlev",""
"https://m.media-amazon.com/images/I/61XbEaUiXmL.jpg;https://m.media-amazon.com/images/I/71Q3NY7osiL.jpg;https://m.media-amazon.com/images/I/717hfjRPzeL.jpg;https://m.media-amazon.com/images/I/61zcwnay+9L.jpg;https://m.media-amazon.com/images/I/61O+babdJtL.jpg","nexlev Premium Memory Foam Neck Pillow with 360-Degree Head Support | Lightweight Comfortable Travel Pillow with Storage Bag for Sleeping | Traveling Flight Car Train Bus and Home Use NP-05 (Pink)","42813","41169","38874","32116","0","3.8","16","B0CDQ5NBH8","nexlev",""
"https://m.media-amazon.com/images/I/61KpXReB6BL.jpg","Nexlev Sherpa Waterproof Camping Blanket - Extra Thick and Warm Large Sherpa Fleece Outdoor Blanket for Camping Picnics Beaches Stadiums Pets - Washable and Windproof for Cold Weather TR-05 (Grey)","32534","31074","29332","20002","0","3.4","46","B0CFH6C6YM","nexlev",""
"https://m.media-amazon.com/images/I/71qCifiEO2L.jpg;https://m.media-amazon.com/images/I/61+c61--QHL.jpg;https://m.media-amazon.com/images/I/71dXXGX-uIL.jpg;https://m.media-amazon.com/images/I/718BsR7xR0L.jpg;https://m.media-amazon.com/images/I/612QoqoTHEL.jpg;https://m.media-amazon.com/images/I/61gkPFXWr9L.jpg;https://m.media-amazon.com/images/I/716v6DkrYmL.jpg;https://m.media-amazon.com/images/I/715krNVOD+L.jpg","Nexlev Dental Flosser| 6 Water Pressures| 4 Cleaning Modes| 2 Nozzle Tips, Tongue Cleaner, Carry Case for Tips| USB-C Charging| 1500mAh| 250ml Tank| IPX7 Water Proof| Carry Pouch | Aqua DF-01-BK","88572","107565","94510","71758","3","3.9","84","B0CW1JJP9S","nexlev","40"
