"Image","Title","Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Reviews: Rating","Reviews: Rating Count","ASIN","Brand","Monthly Sales Trends: Monthly Sold (Last Known)"
"https://m.media-amazon.com/images/I/51ORHUn499L.jpg;https://m.media-amazon.com/images/I/315kmLmMJ5L.jpg;https://m.media-amazon.com/images/I/41QuXi4uQpL.jpg;https://m.media-amazon.com/images/I/41n0gJEtGsL.jpg;https://m.media-amazon.com/images/I/41PUEMLWZxL.jpg;https://m.media-amazon.com/images/I/41TQZjPXKWL.jpg;https://m.media-amazon.com/images/I/41t-12mRgAL.jpg;https://m.media-amazon.com/images/I/41mKy76cwLL.jpg","Nexlev Cat Foutain | 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape kit with LED Light | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs without Adapter (WF100WH-Light)","31273","28959","28858","26973","0","3.4","9","B0CQ2R3LPH","nexlev",""
"https://m.media-amazon.com/images/I/41+L+LcFauL.jpg;https://m.media-amazon.com/images/I/51so4KNKk9L.jpg;https://m.media-amazon.com/images/I/41EoTk7vWbL.jpg;https://m.media-amazon.com/images/I/510L-4WJEUL.jpg;https://m.media-amazon.com/images/I/41NmBh5NlnL.jpg;https://m.media-amazon.com/images/I/41K14n94OaL.jpg;https://m.media-amazon.com/images/I/41IFCPtjd4L.jpg;https://m.media-amazon.com/images/I/51-rgpzUsaL.jpg","NexLev Handheld Garment Steamer |1800 Watts | 35 g/min | 300 ML | Vertical & Horizontal Ironing for Silk Velvet & | Damage Free Steam for all Cloth Types | 25sec quick heat | 3 Brushes | GS-04","155546","206311","190215","96219","2","3.3","109","B0CQX9ZZMH","nexlev","50"
"https://m.media-amazon.com/images/I/61apK7HAGlL.jpg;https://m.media-amazon.com/images/I/61bDyFhABPL.jpg;https://m.media-amazon.com/images/I/61k5Cd4FvlL.jpg;https://m.media-amazon.com/images/I/61vh2otWUAL.jpg;https://m.media-amazon.com/images/I/61HgNmJ+fuL.jpg;https://m.media-amazon.com/images/I/61xZZ9udEUL.jpg;https://m.media-amazon.com/images/I/51v6VTlcfqL.jpg","NexLev Smart Electric Toothbrush for Adults | 2 Min Timer with Quadpacer | 3 Replacebale Heads|AAA Battery Powered | 2 Cleaning Modes|Upto 60 Days | Waterproof | Travel Case | Soft Bristle|ET-01 Black","136638","130135","127257","57120","0","3.4","20","B0CS69T7HF","nexlev","50"
"https://m.media-amazon.com/images/I/61Tam1qLDuL.jpg;https://m.media-amazon.com/images/I/61iMYWrhTSL.jpg;https://m.media-amazon.com/images/I/61WOfhnYWSL.jpg;https://m.media-amazon.com/images/I/71Us3Fq+CvL.jpg;https://m.media-amazon.com/images/I/61MwuV5QILL.jpg;https://m.media-amazon.com/images/I/61kJ-HQXo-L.jpg;https://m.media-amazon.com/images/I/61G10ltF12L.jpg;https://m.media-amazon.com/images/I/51+gsY9ZbCL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev Smart Electric Toothbrush | 2-Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery | 3 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-02 Green","134543","130487","127429","55957","0","3.6","19","B0CSG2JZ19","nexlev","10"
"https://m.media-amazon.com/images/I/518kHrHSYiL.jpg;https://m.media-amazon.com/images/I/71AmC5KPj5L.jpg;https://m.media-amazon.com/images/I/7161kX8zx7L.jpg;https://m.media-amazon.com/images/I/717bKVYBOiL.jpg;https://m.media-amazon.com/images/I/71sYqHnDrYL.jpg;https://m.media-amazon.com/images/I/71NAazhAQKL.jpg;https://m.media-amazon.com/images/I/71nt7axTyuL.jpg;https://m.media-amazon.com/images/I/61QsfQ7O9uL.jpg","Nexlev Sonic Spin Mop | ET-01 Extra Mop Pads | Water Spray Function | Mopping for all Floor types | ET-03","9652","13986","13986","13986","2","4","54","B0CSG3FC4G","nexlev","50"
"https://m.media-amazon.com/images/I/719w7MXUZpL.jpg;https://m.media-amazon.com/images/I/81dJBnM8w8L.jpg;https://m.media-amazon.com/images/I/71sH9UkJlWL.jpg;https://m.media-amazon.com/images/I/81GC9Lb187L.jpg;https://m.media-amazon.com/images/I/71+R6DazPtL.jpg;https://m.media-amazon.com/images/I/81iVij3fnzL.jpg;https://m.media-amazon.com/images/I/71L+lSo8dIL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Window Car & Office Cleaning | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 Meter Cord | 1000W |SC-02","156923","152005","127080","50860","0","3.4","328","B0CYSMBCB8","nexlev","200"
"https://m.media-amazon.com/images/I/81ByWxnoqgL.jpg;https://m.media-amazon.com/images/I/915g5+E7c8L.jpg;https://m.media-amazon.com/images/I/81kXBwRrR4L.jpg;https://m.media-amazon.com/images/I/81tetWPbTpL.jpg;https://m.media-amazon.com/images/I/81Oci05d5WL.jpg;https://m.media-amazon.com/images/I/719-2D0EISL.jpg;https://m.media-amazon.com/images/I/71SGIowrYZL.jpg;https://m.media-amazon.com/images/I/71ZRxEEKtYL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","13131","10108","9687","6299","27","3.7","446","B0CYSLCRQS","nexlev","100"
"https://m.media-amazon.com/images/I/71iIKKPSmmL.jpg;https://m.media-amazon.com/images/I/714Gef8nAiL.jpg;https://m.media-amazon.com/images/I/71vMmWG9euL.jpg;https://m.media-amazon.com/images/I/71HeqGKB-yL.jpg;https://m.media-amazon.com/images/I/71e6wq5+DOL.jpg;https://m.media-amazon.com/images/I/71izgWCL+4L.jpg;https://m.media-amazon.com/images/I/71EpTY+XkUL.jpg;https://m.media-amazon.com/images/I/71s4j7763FL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01","13780","21324","30141","32003","17","4.1","94","B0D2LHNS9B","nexlev","50"
"https://m.media-amazon.com/images/I/71kbj1WVC4L.jpg;https://m.media-amazon.com/images/I/71OIHFvX1mL.jpg;https://m.media-amazon.com/images/I/81e96-oEzfL.jpg;https://m.media-amazon.com/images/I/71NA+YTLe0L.jpg;https://m.media-amazon.com/images/I/71M3VLk0zBL.jpg;https://m.media-amazon.com/images/I/71CPW0WUIbL.jpg;https://m.media-amazon.com/images/I/71oCrkrlxoL.jpg;https://m.media-amazon.com/images/I/81dUoHQixgL.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Safety Guards| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime | Type C | T-01","72709","70921","53136","26140","0","3.8","154","B0D2LGR3GG","nexlev","50"
"https://m.media-amazon.com/images/I/719Ujr7Ye+L.jpg;https://m.media-amazon.com/images/I/715FZPO4kpL.jpg;https://m.media-amazon.com/images/I/71mt7u33xvL.jpg;https://m.media-amazon.com/images/I/71teO2IGhQL.jpg;https://m.media-amazon.com/images/I/81K0s2+mMrL.jpg;https://m.media-amazon.com/images/I/71OawXeF1fL.jpg;https://m.media-amazon.com/images/I/61dfSBrJ+1L.jpg;https://m.media-amazon.com/images/I/718M1DWlo3L.jpg;https://m.media-amazon.com/images/I/613hdJ4UbTL.jpg","NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02","63276","52978","49783","25830","7","3.9","130","B0D2LD6BYJ","nexlev","10"
