"Image","Title","Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Reviews: Rating","Reviews: Rating Count","ASIN","Brand","Monthly Sales Trends: Monthly Sold (Last Known)"
"https://m.media-amazon.com/images/I/51W18VdbcsL.jpg;https://m.media-amazon.com/images/I/81MBLOOyRCL.jpg;https://m.media-amazon.com/images/I/71Ju-0fMWKL.jpg;https://m.media-amazon.com/images/I/71FLezZchhL.jpg;https://m.media-amazon.com/images/I/71YKfQfnXnL.jpg;https://m.media-amazon.com/images/I/715jYy1B3AL.jpg;https://m.media-amazon.com/images/I/813-NKNjY1L.jpg;https://m.media-amazon.com/images/I/815Ce7WW5pL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AI-04 HD 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | 2 in 3 out | Metal Body | Red","81","93","91","87","25","4","951","B0BPLZ5CGV","Audio Array","300"
"https://m.media-amazon.com/images/I/51Oyw7ZrF3L.jpg;https://m.media-amazon.com/images/I/61oHjF4lJEL.jpg;https://m.media-amazon.com/images/I/71UjlvDnJmL.jpg;https://m.media-amazon.com/images/I/61YN29xEe6L.jpg;https://m.media-amazon.com/images/I/71009VuEY5L.jpg;https://m.media-amazon.com/images/I/71e5+ziKz3L.jpg;https://m.media-amazon.com/images/I/713aOKRcS5L.jpg;https://m.media-amazon.com/images/I/71fz7g1p18L.jpg;https://m.media-amazon.com/images/I/51fxOloJfwL.jpg","Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable","47","44","41","33","14","4.2","1567","B0B4DPX2J2","Audio Array","600"
"https://m.media-amazon.com/images/I/715nvr3Sn6L.jpg;https://m.media-amazon.com/images/I/81eiodp-4EL.jpg;https://m.media-amazon.com/images/I/71JfVnO+k9L.jpg;https://m.media-amazon.com/images/I/81dA5s1Fj1L.jpg;https://m.media-amazon.com/images/I/81NvIsOdozL.jpg;https://m.media-amazon.com/images/I/717Tc7Mj+GL.jpg;https://m.media-amazon.com/images/I/7125WDPPUqL.jpg;https://m.media-amazon.com/images/I/81bH3CqnXxL.jpg;https://m.media-amazon.com/images/I/71q6kNSDgHL.jpg","Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA","301","357","357","1007","28","4.1","218","B0DXFPM4N2","Audio Array","50"
"https://m.media-amazon.com/images/I/71I5i6wlYiL.jpg;https://m.media-amazon.com/images/I/81AiFJooMiL.jpg;https://m.media-amazon.com/images/I/81Nlbsz4FtL.jpg;https://m.media-amazon.com/images/I/8102yim04VL.jpg;https://m.media-amazon.com/images/I/71plbKjckHL.jpg;https://m.media-amazon.com/images/I/61m4EWO0xpL.jpg;https://m.media-amazon.com/images/I/81a0p8OdJVL.jpg;https://m.media-amazon.com/images/I/81MfEPKC0UL.jpg;https://m.media-amazon.com/images/I/81IN+4GiTKL.jpg","Audio Array Professional RGB USB Condenser Mic Kit | AI Noise-Cancellation, Mute, Monitoring & Volume Controls | 192kHz/24bit Studio Quality | Gaming, Streaming, Podcast | Mac/PC/Mobile | AM-C46","47","43","41","36","15","3.8","190","B0D3M1B4Z8","Audio Array","50"
"https://m.media-amazon.com/images/I/61dXtGpXiHL.jpg;https://m.media-amazon.com/images/I/71+zgDZIfuL.jpg;https://m.media-amazon.com/images/I/71wq04Ux+uL.jpg;https://m.media-amazon.com/images/I/71JerSo0xWL.jpg;https://m.media-amazon.com/images/I/61ftuQaiZrL.jpg;https://m.media-amazon.com/images/I/61ojW8yOYKL.jpg;https://m.media-amazon.com/images/I/61TaigX9ifL.jpg;https://m.media-amazon.com/images/I/71xi0g2u1uL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AM-W45 Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting","2755","2275","3060","4355","31","4","219","B0CKHVHVQ1","Audio Array","100"
"https://m.media-amazon.com/images/I/71PVNygRkCL.jpg;https://m.media-amazon.com/images/I/811oRn51XlL.jpg;https://m.media-amazon.com/images/I/81BsFhhaASL.jpg;https://m.media-amazon.com/images/I/71ycCQ4e0uL.jpg;https://m.media-amazon.com/images/I/81DcbVHbhgL.jpg;https://m.media-amazon.com/images/I/8124GxqvcML.jpg;https://m.media-amazon.com/images/I/813X7ChxDQL.jpg;https://m.media-amazon.com/images/I/810wOt6WJGL.jpg;https://m.media-amazon.com/images/I/71G6XAZbFnL.jpg","Audio Array Professional DJ Headphones| Studio Headphone| 50mm Drivers| 32Ω | 20Hz-20kHz | Dual Detachable Cables with Mic & Controls| Buddy Share Technology | 105 dB SPL | Monitoring,Mixing| AH-50","119","154","151","277","25","4.5","101","B0FG88HVQ8","Audio Array","200"
"https://m.media-amazon.com/images/I/9138c6TAGdL.jpg;https://m.media-amazon.com/images/I/81a1RDcPtKL.jpg;https://m.media-amazon.com/images/I/91gACymvSSL.jpg;https://m.media-amazon.com/images/I/81aqcWHf0aL.jpg;https://m.media-amazon.com/images/I/81wleN7dHcL.jpg;https://m.media-amazon.com/images/I/71SF2B+IbwL.jpg;https://m.media-amazon.com/images/I/81sbd32sunL.jpg;https://m.media-amazon.com/images/I/71bo8-lVhgL.jpg;https://m.media-amazon.com/images/I/814Hryb+xGL.jpg","Audio Array AM-W22 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube","5665","4485","4063","2215","11","3.6","47","B0FPR962YS","Audio Array","20"
"https://m.media-amazon.com/images/I/81YbOzf-kZL.jpg;https://m.media-amazon.com/images/I/81J8tdq2OvL.jpg;https://m.media-amazon.com/images/I/91gACymvSSL.jpg;https://m.media-amazon.com/images/I/81aqcWHf0aL.jpg;https://m.media-amazon.com/images/I/81wleN7dHcL.jpg;https://m.media-amazon.com/images/I/71SF2B+IbwL.jpg;https://m.media-amazon.com/images/I/71bo8-lVhgL.jpg;https://m.media-amazon.com/images/I/81sbd32sunL.jpg","Audio Array AM-W22_v2 Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube","1157","2611","2459","2542","15","4.4","3","B0GKPXQ8G3","Audio Array",""
"https://m.media-amazon.com/images/I/61CB-2+eboL.jpg;https://m.media-amazon.com/images/I/61i6cPZbRmL.jpg;https://m.media-amazon.com/images/I/61842fA6oTL.jpg;https://m.media-amazon.com/images/I/51lLPJzgS-L.jpg;https://m.media-amazon.com/images/I/71PUj9QBtvL.jpg;https://m.media-amazon.com/images/I/71vOuMEVhwL.jpg;https://m.media-amazon.com/images/I/71NNSCUnmKL.jpg;https://m.media-amazon.com/images/I/71Z4upUDhAL.jpg","Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box","1703","2716","2097","1284","26","3.4","17","B0DFMNGFTD","Audio Array","10"
"https://m.media-amazon.com/images/I/71+IsroeESL.jpg;https://m.media-amazon.com/images/I/61KiOqsdEML.jpg;https://m.media-amazon.com/images/I/71JOxBCiJ5L.jpg;https://m.media-amazon.com/images/I/61Uj8TRReML.jpg;https://m.media-amazon.com/images/I/61CxkeYNFKL.jpg;https://m.media-amazon.com/images/I/61dsc9Ep8jL.jpg;https://m.media-amazon.com/images/I/71vmhFZPRdL.jpg;https://m.media-amazon.com/images/I/610im1ZvntL.jpg","Audio Array AI-10 Professional Live Soundcard|1Ch Mixer |Bluetooth | 3 Condenser Mic Inputs, 2 mobilephones & PC/Mac Outputs | +48V phantom power, 4 Voice Modes, Denoise, built-in FX | Gaming, Karaoke","263","356","327","260","22","3.8","195","B0CM6NTWBP","Audio Array","300"
