date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2
2026-03-02,0,29.81,Audio Array AM-C4/AM-C6 KT,38916472203806,307,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,1,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-03,0,16.16,Audio Array AM-C4/AM-C6 KT,38916472203806,404,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,2,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-04,0,8.49,Audio Array AM-C4/AM-C6 KT,38916472203806,171,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,1,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-05,0,33.17,Audio Array AM-C4/AM-C6 KT,38916472203806,509,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-06,0,23.17,Audio Array AM-C4/AM-C6 KT,38916472203806,467,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,2,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-07,0,16.0,Audio Array AM-C4/AM-C6 KT,38916472203806,480,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-08,0,35.91,Audio Array AM-C4/AM-C6 KT,38916472203806,307,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,4,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-09,0,25.79,Audio Array AM-C4/AM-C6 KT,38916472203806,396,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-10,0,37.52,Audio Array AM-C4/AM-C6 KT,38916472203806,946,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,6,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-11,0,29.07,Audio Array AM-C4/AM-C6 KT,38916472203806,506,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,2,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-12,0,41.41,Audio Array AM-C4/AM-C6 KT,38916472203806,564,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-13,0,102.61,Audio Array AM-C4/AM-C6 KT,38916472203806,683,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,7,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-14,0,46.86,Audio Array AM-C4/AM-C6 KT,38916472203806,965,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,6,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-15,0,68.94,Audio Array AM-C4/AM-C6 KT,38916472203806,704,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,7,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-16,0,91.0,Audio Array AM-C4/AM-C6 KT,38916472203806,1101,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,9,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-17,0,57.33,Audio Array AM-C4/AM-C6 KT,38916472203806,1403,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,7,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-18,0,33.25,Audio Array AM-C4/AM-C6 KT,38916472203806,1275,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-19,0,35.24,Audio Array AM-C4/AM-C6 KT,38916472203806,1169,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-20,0,59.63,Audio Array AM-C4/AM-C6 KT,38916472203806,1093,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,8,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-21,0,30.57,Audio Array AM-C4/AM-C6 KT,38916472203806,705,0.0,217988530787217,B0B4DS678Q,B0B4DS678Q,4,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-22,1,64.14,Audio Array AM-C4/AM-C6 KT,38916472203806,990,1380.51,217988530787217,B0B4DS678Q,B0B4DS678Q,9,AA_Condenser_AM-C4/AM-C6_SP_KT,1,FBA75676,AM-C4,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-02,0,23.78,Audio Array AM-C4/AM-C6 KT,38916472203806,229,0.0,217988530787217,FBA75680,B0B4G1PXWV,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-03,0,23.74,Audio Array AM-C4/AM-C6 KT,38916472203806,245,0.0,217988530787217,FBA75680,B0B4G1PXWV,1,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-04,0,28.9,Audio Array AM-C4/AM-C6 KT,38916472203806,187,0.0,217988530787217,FBA75680,B0B4G1PXWV,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-05,0,27.85,Audio Array AM-C4/AM-C6 KT,38916472203806,292,0.0,217988530787217,FBA75680,B0B4G1PXWV,2,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-06,0,5.61,Audio Array AM-C4/AM-C6 KT,38916472203806,258,0.0,217988530787217,FBA75680,B0B4G1PXWV,1,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-07,0,18.85,Audio Array AM-C4/AM-C6 KT,38916472203806,355,0.0,217988530787217,FBA75680,B0B4G1PXWV,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-08,1,34.29,Audio Array AM-C4/AM-C6 KT,38916472203806,197,1609.32,217988530787217,FBA75680,B0B4G1PXWV,4,AA_Condenser_AM-C4/AM-C6_SP_KT,1,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-09,1,86.13,Audio Array AM-C4/AM-C6 KT,38916472203806,610,1609.32,217988530787217,FBA75680,B0B4G1PXWV,11,AA_Condenser_AM-C4/AM-C6_SP_KT,1,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-10,0,22.35,Audio Array AM-C4/AM-C6 KT,38916472203806,336,0.0,217988530787217,FBA75680,B0B4G1PXWV,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-11,0,19.3,Audio Array AM-C4/AM-C6 KT,38916472203806,320,0.0,217988530787217,FBA75680,B0B4G1PXWV,2,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-12,0,55.97,Audio Array AM-C4/AM-C6 KT,38916472203806,435,0.0,217988530787217,FBA75680,B0B4G1PXWV,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-13,0,23.42,Audio Array AM-C4/AM-C6 KT,38916472203806,289,0.0,217988530787217,FBA75680,B0B4G1PXWV,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-14,0,59.12,Audio Array AM-C4/AM-C6 KT,38916472203806,356,0.0,217988530787217,FBA75680,B0B4G1PXWV,4,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-15,0,39.64,Audio Array AM-C4/AM-C6 KT,38916472203806,897,0.0,217988530787217,FBA75680,B0B4G1PXWV,6,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-16,0,17.67,Audio Array AM-C4/AM-C6 KT,38916472203806,522,0.0,217988530787217,FBA75680,B0B4G1PXWV,1,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-17,0,49.75,Audio Array AM-C4/AM-C6 KT,38916472203806,422,0.0,217988530787217,FBA75680,B0B4G1PXWV,6,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-18,0,31.03,Audio Array AM-C4/AM-C6 KT,38916472203806,269,0.0,217988530787217,FBA75680,B0B4G1PXWV,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-19,0,17.07,Audio Array AM-C4/AM-C6 KT,38916472203806,504,0.0,217988530787217,FBA75680,B0B4G1PXWV,3,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-20,0,32.76,Audio Array AM-C4/AM-C6 KT,38916472203806,593,0.0,217988530787217,FBA75680,B0B4G1PXWV,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-21,0,81.71,Audio Array AM-C4/AM-C6 KT,38916472203806,706,0.0,217988530787217,FBA75680,B0B4G1PXWV,10,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-22,0,39.25,Audio Array AM-C4/AM-C6 KT,38916472203806,664,0.0,217988530787217,FBA75680,B0B4G1PXWV,5,AA_Condenser_AM-C4/AM-C6_SP_KT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-04,0,0.0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,0,0.0,222989954241186,FBA75680,B0B4G1PXWV,0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-06,0,0.0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,1,0.0,222989954241186,FBA75680,B0B4G1PXWV,0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-07,0,5.88,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,207,0.0,222989954241186,FBA75680,B0B4G1PXWV,1,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-08,0,0.0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,430,0.0,222989954241186,FBA75680,B0B4G1PXWV,0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-09,0,12.24,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,699,0.0,222989954241186,FBA75680,B0B4G1PXWV,2,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-10,0,12.31,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,413,0.0,222989954241186,FBA75680,B0B4G1PXWV,2,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-11,0,10.67,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,391,0.0,222989954241186,FBA75680,B0B4G1PXWV,2,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-12,0,13.67,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,249,0.0,222989954241186,FBA75680,B0B4G1PXWV,2,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-13,0,12.11,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,331,0.0,222989954241186,FBA75680,B0B4G1PXWV,2,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-14,0,0.0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,76,0.0,222989954241186,FBA75680,B0B4G1PXWV,0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-15,0,0.0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,280,0.0,222989954241186,FBA75680,B0B4G1PXWV,0,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-16,0,20.45,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,427,0.0,222989954241186,FBA75680,B0B4G1PXWV,3,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-17,0,33.63,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,686,0.0,222989954241186,FBA75680,B0B4G1PXWV,5,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-18,0,7.07,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,383,0.0,222989954241186,FBA75680,B0B4G1PXWV,1,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-19,0,25.67,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,463,0.0,222989954241186,FBA75680,B0B4G1PXWV,3,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-20,0,66.13,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,1017,0.0,222989954241186,FBA75680,B0B4G1PXWV,9,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-21,0,53.15,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,804,0.0,222989954241186,FBA75680,B0B4G1PXWV,7,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-22,0,35.66,Audio Array-B0B4G1PXWV-Condenser-SP-PT,132661329225102,463,0.0,222989954241186,FBA75680,B0B4G1PXWV,3,Audio Array-B0B4G1PXWV-Condenser-SP-PT,0,FBA75680,AM-C6,Audio Array,Microphone Condenser,USB Microphone Kit - Tripod,
2026-03-02,0,577.1,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1474,0.0,357180586230263,B0B4G19R58,B0B4G19R58,17,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-03,0,365.15,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1174,0.0,357180586230263,B0B4G19R58,B0B4G19R58,11,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-04,0,434.79,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1721,0.0,357180586230263,B0B4G19R58,B0B4G19R58,14,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-05,1,662.86,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,3104,3261.86,357180586230263,B0B4G19R58,B0B4G19R58,19,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,1,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-06,0,440.79,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1481,0.0,357180586230263,B0B4G19R58,B0B4G19R58,12,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-07,0,576.35,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1563,0.0,357180586230263,B0B4G19R58,B0B4G19R58,15,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-08,1,546.43,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1484,3219.49,357180586230263,B0B4G19R58,B0B4G19R58,17,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,1,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-09,0,665.76,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,2066,0.0,357180586230263,B0B4G19R58,B0B4G19R58,20,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-10,2,562.14,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1780,6438.98,357180586230263,B0B4G19R58,B0B4G19R58,14,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,2,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-11,0,184.64,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,743,0.0,357180586230263,B0B4G19R58,B0B4G19R58,4,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-12,0,728.63,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1486,0.0,357180586230263,B0B4G19R58,B0B4G19R58,16,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-13,0,444.97,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,2077,0.0,357180586230263,B0B4G19R58,B0B4G19R58,13,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-14,0,326.67,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,2988,0.0,357180586230263,B0B4G19R58,B0B4G19R58,15,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-15,0,247.31,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1761,0.0,357180586230263,B0B4G19R58,B0B4G19R58,14,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-16,0,196.09,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1742,0.0,357180586230263,B0B4G19R58,B0B4G19R58,9,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-17,0,121.8,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1682,0.0,357180586230263,B0B4G19R58,B0B4G19R58,5,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-18,0,62.24,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1321,0.0,357180586230263,B0B4G19R58,B0B4G19R58,3,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-19,0,250.31,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,2957,0.0,357180586230263,B0B4G19R58,B0B4G19R58,9,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-20,0,164.3,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,1572,0.0,357180586230263,B0B4G19R58,B0B4G19R58,9,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-21,0,90.77,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,650,0.0,357180586230263,B0B4G19R58,B0B4G19R58,7,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-22,0,73.14,Audio Array-B0B4G19R58-AM C2 Condenser-SP-PT,424954780409088,525,0.0,357180586230263,B0B4G19R58,B0B4G19R58,7,Audio Array-B0B4G19R58 -AM C2 Condenser-SP-PT,0,FBA75674,AM-C2,Audio Array,Microphone Condenser,XLR Microphone Kit - Boomarm,
2026-03-02,0,1526.09,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,6240,0.0,327706937445724,B0B4DPX2J2,B0B4DPX2J2,79,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,0,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-03,9,1580.4,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,5527,14590.67,327706937445724,B0B4DPX2J2,B0B4DPX2J2,74,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,9,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-04,1,981.02,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,5139,2202.54,327706937445724,B0B4DPX2J2,B0B4DPX2J2,48,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,1,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-05,0,1360.58,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,4504,0.0,327706937445724,B0B4DPX2J2,B0B4DPX2J2,63,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,0,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-06,1,1314.28,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,5294,2244.92,327706937445724,B0B4DPX2J2,B0B4DPX2J2,52,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,1,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-07,1,1786.01,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,5451,2244.92,327706937445724,B0B4DPX2J2,B0B4DPX2J2,69,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,1,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-08,2,1594.35,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,4999,4489.84,327706937445724,B0B4DPX2J2,B0B4DPX2J2,64,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,2,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-09,2,2008.06,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,5056,4358.48,327706937445724,B0B4DPX2J2,B0B4DPX2J2,81,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,2,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-10,2,2029.08,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,4875,4489.84,327706937445724,B0B4DPX2J2,B0B4DPX2J2,77,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,2,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
2026-03-11,0,1011.63,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,283581033611943,2756,0.0,327706937445724,B0B4DPX2J2,B0B4DPX2J2,44,Audio Array-B0B4DPX2J2-AM C1 Condenser -SP-PT,0,FBA75673,AM-C1,Audio Array,Microphone Condenser,USB Microphone Kit - Boomarm,
