date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-08-20,B0DVC58QPZ,0.0,SD_VR_AP-03,0,296220036543697,0,0,FBA79692,406554842476897,0.0,0,Nex_HnK_SD_AP-03_B0DVC58QPZ_VRM_14,FBA79692,AP-03,Nexlev,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini
2026-08-21,B0DVC58QPZ,0.0,SD_VR_AP-03,0,296220036543697,0,0,FBA79692,406554842476897,0.0,0,Nex_HnK_SD_AP-03_B0DVC58QPZ_VRM_14,FBA79692,AP-03,Nexlev,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini
2026-08-01,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-02,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-03,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-04,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-05,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-06,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-07,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-08,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-09,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-10,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-11,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
2026-08-12,B0DNJS23HS,0.0,SD_VR_SC-04 - L14D,0,546168562774533,0,0,FBA79567,406733815679649,0.0,0,Nex_HnK_SD_SC-04_B0DNJS23HS_VRM_7_14,FBA79567,SC-04,Nexlev,Home & Kitchen,Cleaning & Vacumming,Steam cleaner
