date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-04-14,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-15,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-16,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-17,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-18,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-19,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-20,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-21,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-22,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-23,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-24,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-25,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-26,B0CSG2JZ19,0.0,Conversions,0,332009196817524,0,0,FBM79234,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79234,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-06,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-07,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-08,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-09,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-10,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-11,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-12,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-13,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-14,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-15,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-16,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-17,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-18,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-19,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-20,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-21,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-22,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-23,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-24,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-25,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-26,B0D2P6KF4N,0.0,Conversions,0,332009196817524,0,0,FBA79375,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79375,ET-03-BL,Nexlev,HPC,Oral Care,Electric Toothbrush - Sonic
2026-04-06,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-07,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-08,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-09,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-10,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-11,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-12,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-13,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-14,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-15,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-16,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-17,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-18,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-19,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-20,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-21,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-22,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-23,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-24,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-25,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-26,B0CS69T7HF,0.0,Conversions,0,332009196817524,0,0,FBM79233,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79233,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-06,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-07,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-08,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-09,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-10,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-11,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-12,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-13,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-14,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-15,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-16,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-17,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-18,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-19,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-20,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-21,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-22,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-23,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-24,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-25,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-04-26,B0D2P5TGWK,0.0,Conversions,0,332009196817524,0,0,FBA79373,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79373,ET-01-BK,Nexlev,HPC,Oral Care,Electric Toothbrush
