seller_account,sku,asin,afn_fulfillable_quantity,afn_total_quantity,afn_inbound_shipped_quantity,afn_reserved_quantity
VIOMI,FBA76745,B08CF614NK,0,2,0,1
VIOMI,FBA78346,B07JJ62B1B,0,2,0,1
VIOMI,FBA78650,B005HGLKGU,2,2,0,0
VIOMI,FBA77165,B0BZPFB3Z2,0,1,0,0
VIOMI,FBA78645,B00BMUE37I,1,1,0,0
VIOMI,FBA78600,B007T0PEO6,0,1,0,1
VIOMI,FBA76661,B0987JXLGG,1,1,0,0
CAMBIUMRETAIL,FBA78457,B088NYP2LX,1,1,0,0
VIOMI,FBK80139,B001QXCYZY,0,1,0,1
VIOMI,FBA79853,B0FH43K6NT,1,1,0,0
VIOMI,FBA79712,B078JQ33SM,1,1,0,0
VIOMI,FBA80140,B005EHILV4,1,1,0,0
VIOMI,FBA79055,B087MPHGHT,1,1,0,0
VIOMI,FBA79700,B0C891Q6YH,0,1,0,0
VIOMI,FBA79054,B087MMY6T8,1,1,0,0
VIOMI,FBA77009,B0BPSFLT1B,1,1,0,0
VIOMI,FBA78353,B0BZPDH6GM,0,1,0,0
VIOMI,FBA78354,B0BZPGXMLM,0,1,0,1
VIOMI,FBA78599,B0779FL36M,0,1,0,1
VIOMI,FBA75552,B09KLHYW1T,1,1,0,0
CAMBIUMRETAIL,FBA79099,B08XR6CP96,1,1,0,0
VIOMI,FBA78587,B0779DT2LY,0,1,0,1
VIOMI,FBA78601,B00HFY0NRE,0,1,0,1
VIOMI,FBA75694,B089C2L66M,0,0,0,0
CAMBIUMRETAIL,FBA72907,B07RMH1F26,0,0,0,0
CAMBIUMRETAIL,FBA67516,B07FMPRTX3,0,0,0,0
CAMBIUMRETAIL,FBA73798,B07J3YZSQG,0,0,0,0
VIOMI,FBA75693,B074CC1M7T,0,0,0,0
VIOMI,FBA78867,B00BMUQ4XY,0,0,0,0
VIOMI,FBA78668,B007C4V394,0,0,0,0
VIOMI,FBA78654,B00R9W8AQS,0,0,0,0
VIOMI,FBA78622,B000KIVM22,0,0,0,0
VIOMI,FBA78592,B07FWBMXX6,0,0,0,0
VIOMI,FBA78345,B07JHDKXK4,0,0,0,0
VIOMI,FBA78348,B09LCL456X,0,0,0,0
VIOMI,FBA76665,B0BGMNKCNT,0,0,0,0
VIOMI,FBA77164,B0BZPCN1BK,0,0,0,0
VIOMI,FBA77163,B0BWJQ5TMK,0,0,0,0
VIOMI,FBA77135,B09LCDJMS5,0,0,0,0
VIOMI,FBA77218,B0BPHWH5KV,0,0,0,0
VIOMI,FBA78347,B08MBQYQBQ,0,0,0,0
VIOMI,FBA78586,B00IXW5KDY,0,0,0,0
VIOMI,FBA74874,B09CLKBXS4,0,0,0,0
VIOMI,FBA75979,B09GTMFRGB,0,0,0,0
CAMBIUMRETAIL,FBA74027,B085YFCGNF,0,0,0,0
VIOMI,FBA73742,B01MF9VM2N,0,0,0,0
VIOMI,FBA62963,B072F5J32C,0,0,0,0
VIOMI,FBA73741,B00AAEQIH0,0,0,0,0
VIOMI,FBA78911,B007JW08JU,0,0,0,0
VIOMI,FBA79066,B0CC39ZJQP,0,0,0,0
VIOMI,FBA78991,B0BMSMB6DK,0,0,0,0
VIOMI,FBA79065,B0CC3BJKGN,0,0,0,0
VIOMI,FBA79818,B0F146Y33S,0,0,0,0
VIOMI,FBA79817,B0F1469QLH,0,0,0,0
VIOMI,FBA79851,B0FH475LZZ,0,0,0,0
VIOMI,FBA80184,B000CZ0RLK,0,0,0,0
VIOMI,FBA80185,B000IKWBC2,0,0,0,0
VIOMI,FBA80186,B0023BYDHK,0,0,0,0
VIOMI,FBA80187,B0016ML1C2,0,0,0,0
VIOMI,FBA78930,B0C325NVBQ,0,0,0,0
VIOMI,FBA80188,B00OP678V4,0,0,0,0
VIOMI,FBA80189,B001383XS4,0,0,0,0
VIOMI,FBA80191,B000RVWY42,0,0,0,0
VIOMI,FBA80190,B000HT4RSA,0,0,0,0
VIOMI,FBA80193,B002X8Y4SQ,0,0,0,0
VIOMI,FBA80194,B000RW2DUQ,0,0,0,0
VIOMI,FBA80195,B0002KYXTM,0,0,0,0
VIOMI,FBA80192,B000CZ0RMY,0,0,0,0
VIOMI,FBA80197,B000CZ0RLU,0,0,0,0
VIOMI,FBA80198,B002EWM1EA,0,0,0,0
VIOMI,FBA80199,B000KW2YEI,0,0,0,0
VIOMI,FBA80200,B000KIRT38,0,0,0,0
VIOMI,FBA80201,B002GHBYZ0,0,0,0,0
VIOMI,FBA80202,B002EWPX54,0,0,0,0
VIOMI,FBA80203,B000T9PE9E,0,0,0,0
VIOMI,FBA80196,B001383XT8,0,0,0,0
VIOMI,FBA80204,B000KIPTE4,0,0,0,0
VIOMI,FBA80205,B000VZYS66,0,0,0,0
VIOMI,FBA80207,B000Y30NAA,0,0,0,0
VIOMI,FBA80206,B000KIRT74,0,0,0,0
VIOMI,FBA80209,B005EDMCMC,0,0,0,0
VIOMI,FBA80210,B000RK0CZ6,0,0,0,0
VIOMI,FBA80211,B002EWV8IU,0,0,0,0
VIOMI,FBA80208,B002GHBYXW,0,0,0,0
VIOMI,FBA80212,B000RPUMII,0,0,0,0
VIOMI,FBA80213,B07VNSL9CM,0,0,0,0
VIOMI,FBK62964,B071VPNJLS,0,0,0,0
VIOMI,FBA80214,B07VG6GFZT,0,0,0,0
VIOMI,FBK74286,B08SBSN88X,0,0,0,0
VIOMI,FBK74287,B08SJD466P,0,0,0,0
VIOMI,FBK78418,B09L7ZS5GM,0,0,0,0
VIOMI,FBK80140,B005EHILV4,0,0,0,0
